Name ,FuzzyRisk,JavaFiles,Jlint,DefectCOunt,LOC,CloneFragment,CloneGroup,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount
Wellevue,92,2658,517,12,219659,1565,367,0.002353648,5.46301E-05,1,2,6
Calvary Merida,50,1630,270,6,129206,908,206,0.002089686,4.64375E-05,1,1,12
?????,50,238,99,6,28958,81,37,0.003418744,0.000207197,0,3,9
CommunityOne Mobile  Banking,50,1774,251,9,179456,1931,373,0.001398672,5.01516E-05,1,2,10
?????,50,238,99,6,28958,82,37,0.003418744,0.000207197,0,3,9
????(???),50,238,99,6,28958,80,36,0.003418744,0.000207197,0,3,9
CL e-bank,50,1377,305,6,82850,400,138,0.003681352,7.242E-05,0,1,10
Projects Info,51,6141,1719,15,624491,6867,1813,0.002752642,2.40196E-05,1,3,10
Foothills CU Mobile Banking,50,1780,330,6,222352,2695,527,0.001484133,2.69842E-05,2,1,14
Flashlight - No Network Access,0,352,52,6,31837,281,98,0.00163332,0.00018846,1,3,2
????+,50,1998,479,6622,279037,3112,532,0.001716618,0.02373162,6,1,13
??????,51,1600,375,9,168397,2539,472,0.002226881,5.34451E-05,5,1,19
"???,??????,?????,????????",50,54,10,6,4002,22,11,0.002498751,0.00149925,7,0,17
Jota Quest,50,2962,1285,12,270209,1866,616,0.004755578,4.44101E-05,3,4,18
Estonian Finnish Dictionary Fr,92,2233,468,12,283061,3220,662,0.001653354,4.23937E-05,0,6,5
?????? ???????????,51,1266,1243,15,281267,1698,407,0.004419288,5.33301E-05,0,10,3
LuliRadio,51,525,85,6,48184,350,142,0.001764071,0.000124523,0,4,1
????? ?????????,50,138,69,6,18760,41,17,0.003678038,0.000319829,5,1,14
SHC TADAWUL,51,1123,622,474,130756,570,219,0.004756952,0.003625073,1,3,4
???? ??? ????,51,6,0,3,134,0,0,0,0.02238806,1,0,1
MijnHemel,51,206,50,12,18880,173,79,0.002648305,0.000635593,0,3,4
PSCJ,100,2442,738,15,245871,1527,482,0.003001574,6.10076E-05,1,3,14
????? ???????,50,138,69,6,18760,41,17,0.003678038,0.000319829,5,1,14
Itumo,50,2927,603,9,262606,1662,594,0.002296216,3.42719E-05,2,1,12
Porscheshop,51,385,98,9,38194,225,93,0.002565848,0.000235639,0,4,4
Three Peaks Solitaire,92,241,100,6,43457,62,25,0.002301125,0.000138068,0,2,2
Find Differences Rhea,51,506,110,6,45545,261,108,0.002415194,0.000131738,0,2,2
FreeCell Classic,92,241,100,6,43455,62,25,0.002301231,0.000138074,0,2,2
Hennessy Porsche,50,100,50,6,10022,90,35,0.004989024,0.000598683,5,1,14
U. Int. de las Américas,50,2353,530,15,231688,1227,413,0.002287559,6.47422E-05,2,3,12
ALDY deals us,51,609,132,6,56681,313,130,0.002328823,0.000105856,0,3,2
Memorial day wallpapers,92,847,249,6,110011,419,154,0.00226341,5.454E-05,0,1,3
Blue Framed Icons Free,0,15,1,6,675,2,1,0.001481481,0.008888889,0,0,1
uStamp Uruguay,50,1292,453,12,140293,751,305,0.003228957,8.55353E-05,2,6,14
???,51,99,36,5117,8655,12,5,0.004159445,0.591218949,3,1,5
??,51,99,36,5117,8651,12,5,0.004161369,0.591492313,3,1,5
New Vision,92,1987,528,21,217866,1222,416,0.002423508,9.63895E-05,1,2,5
??? ????,51,102,37,5117,9573,11,4,0.003865037,0.534524183,3,1,6
SuperB Solitaire,92,1506,180,6,210341,2739,475,0.000855753,2.85251E-05,3,1,10
Rangers Reviews,92,4757,1303,33,590526,4636,1245,0.002206507,5.58824E-05,0,7,6
Contacts Search Advanced,0,81,34,6,7987,10,5,0.004256917,0.000751221,0,2,1
ComboiosDoPorto,51,85,38,3,8791,4,2,0.004322603,0.000341258,0,1,3
YRaj Productions,50,1938,622,15,176107,1261,395,0.003531944,8.51755E-05,1,3,12
Catholic Diocese of El Paso,92,1160,235,6,92659,664,152,0.002536181,6.47536E-05,0,4,5
????,92,2854,416,9,325505,4544,660,0.001278014,2.76493E-05,1,0,5
Ma ?ao L? ?nh - Ma Dao Le Anh,92,3547,564,6,402398,5000,825,0.001401597,1.49106E-05,0,3,2
??:?? - ????????? ????????,50,1049,347,17,123584,397,129,0.002807807,0.000137558,2,1,10
Custom Drag Jigsaw Puzzle,51,934,298,3,114162,976,296,0.002610326,2.62784E-05,1,4,5
BT Option,51,1721,586,9,227430,1827,455,0.002576617,3.95726E-05,0,6,2
CIB Mobile Banking,50,1776,249,9,179404,1929,364,0.001387929,5.01661E-05,1,2,10
Mobile Innovation,100,4757,1303,33,590526,4636,1253,0.002206507,5.58824E-05,0,4,11
SANE,51,1455,302,9,140810,844,327,0.002144734,6.39159E-05,0,1,6
???????? ???,50,52,10,6,3914,20,10,0.002554931,0.001532959,7,0,17
???-??? ?????,50,1998,479,6625,279037,3117,531,0.001716618,0.023742371,6,1,13
"The kitchen basics, Lite",51,182,74,6,18187,67,28,0.00406884,0.000329906,1,0,5
GO ???,50,99,51,9,12040,20,9,0.00423588,0.000747508,7,1,16
BOVER,51,865,354,9,85685,542,183,0.004131412,0.000105036,0,5,5
Cingolimeteo,51,1423,1252,15,309988,1703,409,0.004038866,4.8389E-05,0,10,1
MN GOP,50,2530,787,13,244159,2637,817,0.003223309,5.3244E-05,1,4,11
Kro-Gu,91,5319,1003,15,552941,5883,1191,0.001813937,2.71277E-05,4,3,17
Jason Saine for NC House,51,275,116,3530,22308,85,28,0.005199928,0.158239197,0,1,3
SecFileXfrLt,51,460,105,6,49354,321,121,0.002127487,0.000121571,0,1,3
Sports Doc Locator,50,13,0,3,639,2,1,0,0.004694836,3,0,5
Purple Leather,51,150,39,6,16214,89,40,0.002405329,0.000370051,0,1,7
"Right Away Air Conditioning, I",51,2007,556,9,207009,1254,426,0.002685874,4.34764E-05,5,0,18
iTalkBB,50,2362,619,24,247029,0,0,0.002505779,9.71546E-05,18,3,38
???? ??,51,460,78,6,43202,286,120,0.001805472,0.000138882,0,4,2
??????&???,50,52,10,6,3911,20,10,0.002556891,0.001534134,7,0,17
Nurenberg Paris Workers Comp,50,432,61,6,35909,333,121,0.001698738,0.000167089,5,1,14
Accident Injury Attorneys,50,1063,111,6,134214,2305,372,0.000827037,4.47047E-05,3,1,14
Mayo Injury Law,50,1063,111,6,134214,2297,368,0.000827037,4.47047E-05,3,1,14
Nurenberg Paris Auto Accident,50,1063,111,6,134214,2302,362,0.000827037,4.47047E-05,3,1,14
????? (???????),51,305,52,9,27106,193,82,0.001918394,0.00033203,3,2,8
CurvesDesign,50,1377,263,6,178036,2396,422,0.001477229,3.3701E-05,3,1,16
Dan Robin Personal Injury App,50,1063,111,6,134214,2310,365,0.000827037,4.47047E-05,3,1,14
ptCommerce mobile,51,9,0,3,291,0,0,0,0.010309278,0,0,1
St. Mary's Journal Argus,51,2140,941,3360,242445,1762,549,0.003881293,0.013858813,0,1,4
"??????????,???????????",92,1962,232,6,235536,3237,542,0.000984987,2.54738E-05,4,2,11
Sell Books Kutztown University,50,1301,497,15,140465,821,299,0.003538248,0.000106788,2,3,10
Babcock Road Church,50,197,60,9,18679,165,69,0.003212163,0.000481825,3,0,10
CallTheGeneral,50,1583,312,12,158250,819,277,0.001971564,7.58294E-05,1,3,10
BAR CODE- QR CODE scanner Demo,0,1267,403,12,119280,1015,300,0.003378605,0.000100604,0,2,2
b+p architektur ag,51,194,99,9,23018,140,63,0.004300982,0.000390998,1,2,2
App Cab WISCONSIN,50,4034,1025,13,471305,6117,1443,0.002174812,2.7583E-05,1,3,8
JaxADV,51,342,102,3,25679,72,30,0.003972117,0.000116827,0,4,5
Podologia Mazzini,92,1002,274,9,112638,562,210,0.002432572,7.9902E-05,1,1,11
River Side Custom Printing,92,1160,233,6,92659,663,151,0.002514597,6.47536E-05,0,4,5
AFC Portal Mobile,51,696,153,6,47497,146,53,0.003221256,0.000126324,1,1,5
Rádio Liderança 951,51,764,204,9,70088,537,197,0.002910627,0.00012841,1,1,4
ARGUS,51,525,214,12,62910,532,175,0.003401685,0.000190749,0,0,3
??????,51,65,7,3,4518,57,22,0.001549358,0.000664011,2,0,7
Argus Leader Print Edition,51,243,65,9,26372,104,43,0.002464735,0.000341271,1,0,4
CNB Mobile Banking,50,161,43,9,15111,41,17,0.002845609,0.000595593,1,2,8
NthViewer - Multiview Video,92,278,68,9,27007,145,61,0.002517866,0.000333247,0,8,3
TAXI NAPOCA Client,50,491,172,5098,49699,550,193,0.003460834,0.102577517,2,5,15
Clínica Dental Burdeos,51,604,153,9,52872,237,100,0.002893781,0.000170222,0,1,8
Fusion VR - Virtual Reality,92,293,80,9,28175,164,68,0.002839397,0.000319432,0,10,1
?????????(??1?),51,1650,394,9,183676,2853,513,0.002145082,4.89993E-05,4,1,18
LineHaul Pro,51,418,177,3,45946,114,49,0.003852348,6.5294E-05,1,6,6
Limoncello,50,1998,479,6625,279037,3119,530,0.001716618,0.023742371,6,1,13
United Wayne,50,127,61,9,15892,41,18,0.003838409,0.000566323,4,2,14
TEXAS Lesiones App,91,3582,692,12,428453,3733,819,0.001615113,2.80077E-05,3,4,14
Seymour Johnson AFB,50,127,61,9,15892,41,18,0.003838409,0.000566323,4,2,14
Spine & Health Institute,50,277,66,9,23340,258,100,0.002827763,0.000385604,5,1,13
Prudential McMillen Group,50,127,61,9,15892,41,18,0.003838409,0.000566323,4,2,14
Do it Downtown,50,127,61,9,15894,41,18,0.003837926,0.000566251,4,2,14
Friday Night Football - WC,50,127,61,9,15892,41,18,0.003838409,0.000566323,4,2,14
American Standard Air,51,372,121,3,27797,75,33,0.004352988,0.000107925,0,5,6
Balloon Festival,50,155,73,9,19972,42,18,0.003655117,0.000450631,4,2,14
Dr. David Diamond,51,1342,1264,15,292186,1785,421,0.004326012,5.13372E-05,0,10,4
Storyboards2Go - Trialversion,0,814,150,6,85738,484,194,0.001749516,6.99806E-05,1,4,2
NC Festivals and Events,50,155,73,9,19972,42,18,0.003655117,0.000450631,4,2,14
CS Móvil,92,2310,456,12,276616,3434,602,0.001648495,4.33814E-05,2,1,6
Wayne Community College,50,155,73,9,19972,42,18,0.003655117,0.000450631,4,2,14
Unit Converter,51,83,52,6,11996,18,9,0.004334778,0.000500167,0,0,2
Agencija M Servis,51,459,159,5095,45653,518,178,0.003482794,0.111602742,0,7,5
Duke FCU i-Mobile,50,505,234,6,35908,112,40,0.006516654,0.000167094,0,0,6
GasApp Lite,50,321,210,5101,41187,236,87,0.005098696,0.123849758,0,0,5
1k,51,1320,1244,15,288051,1774,424,0.00431868,5.20741E-05,0,10,4
jkl werty,50,3093,828,12,317267,3608,1021,0.002609789,3.7823E-05,1,2,9
Avon Shop Mobile,85,5005,983,15,551081,5217,1142,0.001783767,2.72192E-05,6,0,18
Stomatology today,50,2761,676,12,305531,3255,796,0.002212541,3.92759E-05,3,3,15
Gold & Silver Prices,92,937,237,6,120315,485,195,0.001969829,4.98691E-05,0,3,2
Carbodata2012,51,507,398,9,68837,534,145,0.005781774,0.000130744,1,2,3
Sledovátko.cz,51,124,41,9,10047,41,17,0.00408082,0.00089579,1,0,8
TipsyTipper (Tip Calculator),50,132,27,3,12082,41,17,0.002234729,0.000248303,0,1,3
??? ???? ????,100,848,196,9,85393,815,249,0.00229527,0.000105395,5,3,16
?????(???),50,238,99,6,28958,82,37,0.003418744,0.000207197,0,3,9
Aldo Terlato Couture,91,4820,867,12,518824,5437,1044,0.001671087,2.31292E-05,4,4,15
ALM Solutions,51,18,0,6,430,4,2,0,0.013953488,0,0,1
??????,51,1036,395,12,110298,507,184,0.003581207,0.000108796,4,2,16
Golf NAVI+,50,1503,446,9,160357,1107,382,0.002781294,5.61248E-05,3,1,15
??????,92,2876,414,9,327565,4577,665,0.001263871,2.74755E-05,1,1,4
Rádio Mega 95 FM,50,2047,543,15,188978,1089,443,0.00287335,7.93743E-05,1,3,6
Rádio 95 FM,51,579,168,9,57014,289,118,0.002946645,0.000157856,0,2,3
Free Hidden Object Games - 95,92,4164,932,9,454428,4837,1054,0.00205093,1.98051E-05,0,4,4
Backyard Brains,0,54,5,3,4101,36,17,0.001219215,0.000731529,0,1,2
Data Structures Using C-1,92,3542,769,6,459155,5739,963,0.001674816,1.30675E-05,1,2,4
Windsurf,51,6141,1719,15,624513,6881,1828,0.002752545,2.40187E-05,1,3,10
?????,92,738,189,9,92549,481,153,0.002042161,9.72458E-05,0,3,2
LE PRESSING DU CHEVAL,88,1798,383,21,183987,883,328,0.002081669,0.000114138,4,0,16
EpiTableCalcs,51,1301,1084,15,239940,1413,378,0.004517796,6.25156E-05,0,9,2
Vista Radio,50,442,83,6,41814,276,111,0.001984981,0.000143493,1,2,6
R. FUCHS Partner AG,51,180,91,9,21497,138,62,0.004233149,0.000418663,1,2,2
SEPA Testcenter,51,2187,469,21,204312,1509,519,0.002295509,0.000102784,0,3,2
Link 15,51,46,8,6,4501,22,11,0.001777383,0.001333037,1,0,2
Volvo XC90 Owners Manuals,92,741,254,6,78270,232,77,0.003245177,7.66577E-05,0,1,2
krea comunicacion,51,8,0,3,208,0,0,0,0.014423077,0,0,1
Fairy Ship Adventure,92,3674,726,9,439488,5461,1012,0.001651922,2.04784E-05,0,2,5
????????????,51,1209,248,6,150479,608,217,0.00164807,3.98727E-05,0,3,6
Accident App by CaryTown,51,224,30,6,26381,207,67,0.001137182,0.000227436,4,2,10
Connecticut Lawyer,50,481,64,6,39521,393,137,0.001619392,0.000151818,7,2,17
Accident App by TWW Law,51,121,7,6,7313,102,38,0.0009572,0.000820457,8,1,14
??? ?? ????? ????????,50,570,99,6,53275,385,159,0.001858282,0.000112623,8,1,18
TheGtripleC,50,2174,466,15,213840,1107,369,0.002179199,7.01459E-05,2,3,11
Guatemala Radio (Guatemalan),92,710,165,9,87616,403,163,0.001883218,0.000102721,0,3,2
Warren Averett Asset Mgmt,51,528,91,6,49739,353,144,0.00182955,0.00012063,2,2,7
McDaniel Knutson Mobile,51,34,6,3,1969,2,1,0.003047232,0.001523616,0,0,5
Advance Capital,51,310,52,6,28288,199,84,0.001838235,0.000212104,2,1,7
ManagersChoice,51,528,91,6,49739,354,144,0.00182955,0.00012063,2,2,7
How To Buy Stocks.,51,2024,404,9,161217,649,212,0.002505939,5.58254E-05,4,5,16
Burlington County Times,92,4834,1244,12,609355,6767,1248,0.002041503,1.9693E-05,1,2,10
94.9 The River Natchitoches,51,319,97,6,23145,53,23,0.00419097,0.000259235,0,4,5
Volvo Sensus Quick Start Guide,51,64,13,3,6759,19,6,0.001923361,0.000443853,2,0,4
?? ????? ???? 7?? ??????,50,570,99,6,53275,388,160,0.001858282,0.000112623,8,1,18
Accident App by Barry Regar,51,121,8,6,7390,99,33,0.001082544,0.000811908,8,1,14
Big Money Taxes,50,2148,455,15,209696,1105,367,0.002169808,7.15321E-05,2,3,11
(?)??????,51,319,97,6,23145,53,23,0.00419097,0.000259235,0,4,5
????,51,373,120,3,27606,67,29,0.004346881,0.000108672,0,4,5
CPK Law Accident & DUI App,51,118,9,6,7243,103,38,0.001242579,0.000828386,8,1,14
DroidSnow,51,32,6,3,1882,4,2,0.003188098,0.001594049,0,0,2
?????????,50,570,100,6,53275,385,159,0.001877053,0.000112623,8,1,18
??????????,50,1998,479,6625,279037,3114,528,0.001716618,0.023742371,6,1,13
??????,92,1962,232,6,235545,3243,540,0.00098495,2.54728E-05,4,2,11
TEJAS BANK MOBILE BANKING,50,1776,249,9,179404,1919,363,0.001387929,5.01661E-05,1,2,10
Carnatic Piano,0,71,41,9,6514,35,16,0.006294136,0.00138164,0,6,1
Your Community Bank Mobile,50,1776,249,9,179404,1924,370,0.001387929,5.01661E-05,1,2,10
?????,50,1998,479,6622,279037,3118,538,0.001716618,0.02373162,6,1,13
B.K.R Cleaning,50,2721,630,15,263497,1530,534,0.002390919,5.69266E-05,2,3,12
Data Protection,50,2191,469,15,214511,1114,371,0.002186368,6.99265E-05,2,3,11
SoundBoxx UK,50,2265,509,15,223320,1172,394,0.002279241,6.71682E-05,2,3,12
Tips For Wildflower Photo,51,938,263,12,76961,229,88,0.003417315,0.000155923,0,4,5
Relocation Today Intern,51,702,184,9,79896,474,177,0.002302994,0.000112646,0,2,1
South Downs Solar Panels,50,2117,455,15,208260,1108,374,0.002184769,7.20254E-05,2,3,11
MAJOR TRENDZ RADIO,51,423,88,9,42354,139,58,0.002077726,0.000212495,1,1,5
MyITstudy's CompTIA® A+ Terms,51,589,92,6,54381,421,167,0.001691767,0.000110333,0,3,2
ExamTrainer,51,361,62,6,35037,220,69,0.001769558,0.000171248,3,1,7
Wildflowers of Great Plains,92,230,69,6,24405,117,54,0.002827289,0.000245851,0,7,5
PMstudy's PMP®/CAPM® Terms,51,589,92,6,54385,420,167,0.001691643,0.000110325,0,3,2
Y100,50,675,224,9,61881,301,122,0.003619851,0.00014544,1,1,7
PRINCE2 ExamBoost,51,353,58,6,37207,219,88,0.001558846,0.00016126,3,1,10
Guatemala radios,92,2083,322,12,265473,3227,582,0.001212929,4.52023E-05,0,5,3
WOF Player,50,228,92,6,26837,69,28,0.003428103,0.000223572,7,1,16
Bucks County Courier Times,92,2318,895,15,334231,2079,544,0.002677789,4.48791E-05,2,2,9
Radios de Guatemala,51,574,160,9,55770,292,119,0.002868926,0.000161377,0,2,3
Radio Graf'hit,51,166,44,9,13063,78,29,0.003368292,0.000688969,0,1,3
Bay Area LiveStream,51,16,7,3,1875,4,2,0.003733333,0.0016,3,1,4
CET94,51,1348,1288,15,294310,1811,414,0.004376338,5.09667E-05,0,11,3
FarmAndBarna24H,50,24,2,9,1219,2,1,0.001640689,0.007383101,4,0,4
Talk To Care,50,40,11,3,2194,23,8,0.005013674,0.001367366,2,0,5
Orasul Tuturor,50,27,4,6,1413,2,1,0.002830856,0.004246285,2,2,3
ForoCoches App,51,41,5,3,2746,14,4,0.00182083,0.001092498,0,0,1
Free Hidden Object Games - 94,92,4164,932,9,454428,4844,1063,0.00205093,1.98051E-05,0,4,4
"Radio Onda Sul 94,9 FM",92,2553,463,15,299703,3562,654,0.001544863,5.00495E-05,2,1,9
"FM Verde Vale - 94,1",50,2047,543,15,188978,1083,439,0.00287335,7.93743E-05,1,3,6
"Band Fm Lages 94,3",50,2035,542,15,187346,1076,437,0.002893043,8.00658E-05,1,3,6
?????,51,726,65,6,55146,600,126,0.001178689,0.000108802,1,2,3
Radios de Ecuador,51,574,160,9,55783,293,119,0.002868257,0.000161339,0,2,3
EmailToSMS,51,768,186,9,81869,609,222,0.002271922,0.000109932,0,0,3
Info Wars,100,17,2,3,1177,4,2,0.001699235,0.002548853,3,0,7
Cuba 2007,51,13,1,3,729,0,0,0.001371742,0.004115226,1,0,2
Rafael Espinal for Council,51,456,94,6,43230,282,118,0.002174416,0.000138793,2,1,9
Sleaszy Rider Records,51,48,2,3,3420,29,11,0.000584795,0.000877193,0,2,2
Chris Diset Photography,51,521,136,6,45931,169,66,0.002960963,0.000130631,0,5,5
Wheaton Wealth Partners,51,34,6,3,1969,2,1,0.003047232,0.001523616,0,0,5
Zona de Vida,50,1009,291,9,95133,572,240,0.003058875,9.46044E-05,6,2,17
ByThePeople.us,51,2495,717,12,275963,2359,703,0.002598174,4.34841E-05,2,3,7
Catálogo Cartorural,50,514,73,9,45437,311,91,0.00160662,0.000198076,2,1,8
EMT National Registry Review,51,675,160,6,67909,406,174,0.002356094,8.83535E-05,0,2,4
Lumia 930 HD Wallpapers,51,949,194,12,99664,649,241,0.00194654,0.000120405,2,4,5
????,50,462,78,6,43252,287,120,0.001803385,0.000138722,0,4,4
Dee Richard Real Estate,51,2007,556,9,207009,1272,433,0.002685874,4.34764E-05,5,0,18
????,92,1962,233,6,235540,3233,543,0.000989216,2.54734E-05,4,3,10
ServGroup,95,2729,613,12,288957,1627,594,0.002121423,4.15287E-05,2,3,12
????,51,517,86,6,48183,349,143,0.001784862,0.000124525,0,3,2
????? ? ??????,50,1998,479,6625,279037,3118,525,0.001716618,0.023742371,6,1,13
JDS,51,350,67,6,32447,234,96,0.002064906,0.000184917,1,1,4
???? ????? ?????,50,52,10,6,3918,20,10,0.002552323,0.001531394,7,0,17
Sahih Bukhari English,50,321,1255,6,33442,209,67,0.03752766,0.000179415,4,2,10
?????? ????,50,1998,479,6622,279037,3116,529,0.001716618,0.02373162,6,1,13
?????,100,2462,635,6,216458,495,165,0.002933595,2.7719E-05,32,2,49
Count Scan and Send 7,51,348,87,12,37609,255,108,0.002313276,0.000319073,0,6,2
??-???,51,522,86,6,48722,348,142,0.001765116,0.000123148,3,3,6
India Reflects,50,635,189,9,73747,421,178,0.002562816,0.000122039,3,4,9
Limerick's Live 95FM,100,6173,1588,12,691665,6730,1508,0.002295909,1.73494E-05,1,4,9
tfsRadio Spain,51,1709,534,16,175249,1217,383,0.003047093,9.12987E-05,0,2,6
AYSO Region 933,100,4757,1303,33,590526,4622,1242,0.002206507,5.58824E-05,0,4,11
Seaside Real Estate,51,70,35,6,9310,19,9,0.003759398,0.000644468,1,8,4
Food Bank of San Luis Obispo,50,2700,619,15,260153,1521,529,0.002379369,5.76584E-05,2,3,12
eyePacifica,50,1579,555,9,138362,978,317,0.004011217,6.50468E-05,0,2,6
WebVisions 2011,50,887,321,12,96984,800,238,0.003309824,0.000123732,4,1,8
Ecrins National Park,51,132,2,18,7668,5,1,0.000260824,0.002347418,0,1,1
??? (???????),51,12,2,6,497,0,0,0.004024145,0.012072435,3,0,3
SVFCU Mobile Banking,50,506,233,6,36017,110,39,0.006469167,0.000166588,0,0,6
Funny SMS Ringtones,50,813,212,6,72304,355,144,0.002932065,8.2983E-05,3,1,11
Seasons FCU Mobile Money,50,161,43,9,15111,41,17,0.002845609,0.000595593,1,2,8
Opteum: Dispatch software,50,1765,621,35188,185795,1021,382,0.003342393,0.189391534,2,2,15
Duquesne Light Mobile Payments,51,964,251,23,108779,570,229,0.002307431,0.000211438,1,4,2
Siralim (Roguelike / RPG),92,4008,885,9,436462,4757,1032,0.002027668,2.06204E-05,0,6,4
"SNB Bank, N.A. Mobiliti",50,159,41,9,14958,41,17,0.002741008,0.000601685,1,2,8
"Wolf & Company, P.C. View",51,182,155,6,18106,124,12,0.008560698,0.000331382,0,2,4
Kisah Hidup Imam Maliki,92,3035,502,6,336806,4408,692,0.001490472,1.78144E-05,0,2,3
Mobile Computing -1,92,3542,769,6,459155,5730,965,0.001674816,1.30675E-05,1,2,4
Pizzeria New after,50,87,42,3,10453,24,11,0.004017985,0.000286999,4,5,9
GPS????,50,85,28,5117,8923,14,7,0.003137958,0.57346184,1,0,7
?????????????,51,1600,375,9,168397,2543,472,0.002226881,5.34451E-05,5,1,19
KVVP,50,1938,646,9,206253,1233,427,0.003132076,4.36357E-05,1,2,8
Thunder Country,50,2008,664,6,212212,1264,437,0.003128947,2.82736E-05,4,2,11
Country 101 KMLO 100.7,50,2008,664,6,212212,1272,445,0.003128947,2.82736E-05,4,2,11
KLXS Country,50,1753,588,9,194102,1022,361,0.003029335,4.63674E-05,2,2,11
KJ Country 102.3,50,1946,653,9,207027,1224,421,0.003154178,4.34726E-05,4,2,11
106.9 Rocks,50,292,58,12,29385,171,41,0.001973796,0.000408372,1,1,4
SHIFTER X,50,3094,821,12,317287,3546,1002,0.002587563,3.78206E-05,1,2,9
LWML eQuarterly,51,25,9,6,1570,16,7,0.005732484,0.003821656,2,0,4
????? ???,92,257,46,12,26888,149,66,0.0017108,0.000446296,2,0,5
GNXcapture,92,65,3,6,3721,13,6,0.000806235,0.00161247,6,1,7
Mobile Choice,51,6141,1719,15,624491,6854,1824,0.002752642,2.40196E-05,1,3,10
HILTON GIFTS COLLECTIONS,51,593,267,9,68388,277,121,0.003904194,0.000131602,5,3,19
????,50,157,25,9,14370,105,41,0.001739736,0.000626305,3,1,6
View Max,51,637,96,6,58517,483,186,0.001640549,0.000102534,0,4,1
?????? ??,92,257,46,12,26888,149,66,0.0017108,0.000446296,2,0,5
San Diego Real Estate & Loans,50,2169,476,15,209721,1174,385,0.002269682,7.15236E-05,2,3,11
Prooftech Waterproofing,51,595,279,9,69443,255,112,0.004017684,0.000129603,5,3,19
Search Alerts,51,54,1,6,5026,66,30,0.000198965,0.001193792,1,0,3
Blue Wave Spa,51,595,279,9,69443,266,116,0.004017684,0.000129603,5,3,19
Lavender Spa,51,595,279,9,69443,266,117,0.004017684,0.000129603,5,3,19
Progress Deco,51,595,279,9,69443,261,114,0.004017684,0.000129603,5,3,19
Things In Common,50,788,313,15,73686,673,158,0.004247754,0.000203566,0,0,4
Captain Mas Crab House,50,694,75,30,58166,260,98,0.001289413,0.000515765,8,1,16
Marx Jewelers,95,2729,613,12,288868,1638,599,0.002122077,4.15415E-05,2,3,12
Jiang Education,51,719,322,9,79281,318,136,0.004061503,0.00011352,5,3,19
Wholesale Flags,51,319,97,6,23129,53,23,0.004193869,0.000259415,0,4,5
Injury Help by Barnes  Group,50,474,63,6,39510,373,134,0.001594533,0.00015186,7,2,17
HolyLand,51,595,279,9,69443,264,116,0.004017684,0.000129603,5,3,19
Art-Tattoos,51,1402,507,6,135278,515,203,0.003747838,4.43531E-05,2,4,12
Larry Hoffman Lawyer App,50,407,53,6,33192,312,114,0.00159677,0.000180766,7,1,12
perlesdetahiti-boutique,51,1402,507,6,135278,528,209,0.003747838,4.43531E-05,2,4,12
Globalrider Trading,51,595,280,9,69446,263,116,0.00403191,0.000129597,5,3,19
Flip Flip B,51,453,115,6,40805,170,69,0.002818282,0.000147041,0,2,3
Las Vegas De'Palace,51,595,279,9,69439,260,114,0.004017915,0.00012961,5,3,19
Donglin Group,51,595,279,9,69443,264,116,0.004017684,0.000129603,5,3,19
My Beauty,51,595,279,9,69443,258,114,0.004017684,0.000129603,5,3,19
Madame Patisserie,51,595,279,9,69443,261,115,0.004017684,0.000129603,5,3,19
PRAISE & GLORY BEAUTY,51,719,322,9,79281,311,134,0.004061503,0.00011352,5,3,19
Hinz Jewelers,51,372,121,3,27797,75,33,0.004352988,0.000107925,0,5,6
Easy Counter - PRO - (FREE),51,1303,1252,15,285012,1734,412,0.004392797,5.26294E-05,0,10,4
TPM4All,50,472,222,9,54282,128,56,0.004089754,0.000165801,3,6,12
M2 Florist,92,808,259,3,97997,500,186,0.002642938,3.06132E-05,0,2,4
Accident App by Gerald Marcus,51,120,7,6,7300,100,38,0.000958904,0.000821918,8,1,14
Chattanooga Tn Real Estate,50,1908,392,12,181658,1045,341,0.002157901,6.60582E-05,2,3,11
Lamborghini Huracan,92,1160,233,6,92659,673,155,0.002514597,6.47536E-05,0,4,5
MAGNES,50,1998,479,6625,279037,3122,538,0.001716618,0.023742371,6,1,13
Sarasota Florida Real Estate,50,1908,392,12,181658,1043,340,0.002157901,6.60582E-05,2,3,11
Buy Sterling Silver,92,1160,235,6,92659,668,152,0.002536181,6.47536E-05,0,4,5
Phoenix AZ Real Estate,50,2220,484,15,211870,1193,400,0.00228442,7.07981E-05,2,3,11
InRima,51,51,25,3663,5353,0,0,0.004670278,0.684289184,0,0,2
KIT-Aktuelles,51,723,178,6,68542,665,234,0.002596948,8.75376E-05,1,2,4
Liebesache-Modeschmuck,51,1402,507,6,135278,525,206,0.003747838,4.43531E-05,2,4,12
TrestRest,50,1998,479,6622,279037,3118,527,0.001716618,0.02373162,6,1,13
MEW-EMP,50,379,30,6,32148,186,77,0.000933184,0.000186637,2,1,6
?????? ???????,50,1998,479,6625,279037,3117,535,0.001716618,0.023742371,6,1,13
Boeing Virtual Flight 2014,92,4757,1303,33,590526,4639,1252,0.002206507,5.58824E-05,0,7,6
Bungeroum -Block Jigsaw Puzzle,92,2345,349,6,269889,3471,620,0.001293124,2.22314E-05,3,2,8
Da-Bach-Na-Fahrt,92,1483,513,9,234423,1627,391,0.002188352,3.83921E-05,0,3,2
